display_name,country_code,city_name,state_name,region_name,address,brand,timezone,is_presale,is_sold_out,is_deleted,partner_name,partner_id
Botafogo,BR,RIO DE JANEIRO,RIO DE JANEIRO,,"R. Voluntários da Pátria, 393 - Botafogo, Rio de Janeiro - RJ, 22270-005, Brazil",ACTION_EXPERIENCE,America/Sao_Paulo,0,0,0,EVO,2
Savassi,BR,BELO HORIZONTE,MINAS GERAIS,,"R. Sergipe, 1208 - Funcionários, Belo Horizonte - MG, 30130-174, Brazil",ACTION_EXPERIENCE,America/Sao_Paulo,0,0,0,EVO,1
7 De Agosto,CO,"BOGOTÁ, D.C.",CUNDINAMARCA,BOGOTÁ,"Cra 35 #63d-48, Barrios Unidos",ACTION_EXPERIENCE,America/Bogota,1,0,0,EVO,73
Alto de palmas,CO,ENVIGADO,ANTIOQUIA,ANTIOQUIA SUR,"Ed. Indie, Av. Las Palmas, Vrd. El Penasco",ACTION_EXPERIENCE,America/Bogota,0,0,0,EVO,7
Altos Del Prado,CO,BARRANQUILLA,ATLANTICO,B/QUILLA - CALI - PEREIRA,"Cra. 56 #75 155, Nte. Centro Historico",ACTION_EXPERIENCE,America/Bogota,0,0,0,EVO,19
Atlantis,CO,"BOGOTÁ, D.C.",CUNDINAMARCA,BOGOTÁ,Cl. 81 # 13-85,ACTION_EXPERIENCE,America/Bogota,0,0,0,EVO,20
Atrio,CO,"BOGOTÁ, D.C.",CUNDINAMARCA,BOGOTÁ,Cll 28 # 13a 75 Bogotá - piso 2,ACTION_EXPERIENCE,America/Bogota,0,0,0,EVO,66
Aves Maria,CO,SABANETA,ANTIOQUIA,ANTIOQUIA SUR,Cl. 75 Sur #43A-202,ACTION_EXPERIENCE,America/Bogota,0,0,0,EVO,35
Belen,CO,MEDELLÍN,ANTIOQUIA,ANTIOQUIA NORTE,"Cl. 30A #73-63, Belen",ACTION_EXPERIENCE,America/Bogota,0,0,0,EVO,10
Calle 77,CO,BARRANQUILLA,ATLANTICO,B/QUILLA - CALI - PEREIRA,CL 77 - 71 ESQUINA NORTE,ACTION_EXPERIENCE,America/Bogota,1,0,0,EVO,64
Campanella Plaza,CO,CALI,VALLE DEL CAUCA,B/QUILLA - CALI - PEREIRA,"Cl. 18 #127-118, Barrio Pance",ACTION_EXPERIENCE,America/Bogota,0,0,0,EVO,29
Campestre,CO,MEDELLÍN,ANTIOQUIA,ANTIOQUIA SUR,"Cra. 43A, Cl. 16AA Sur #24",ACTION_EXPERIENCE,America/Bogota,0,0,0,EVO,5
Carulla 116,CO,"BOGOTÁ, D.C.",CUNDINAMARCA,BOGOTÁ,"Cra. 45 #116-34, Usaquén",ACTION_EXPERIENCE,America/Bogota,1,0,0,EVO,70
CC Arkadia,CO,MEDELLÍN,ANTIOQUIA,ANTIOQUIA CENTRO,Cra. 51 #81 - 44,ACTION_EXPERIENCE,America/Bogota,0,0,0,EVO,67
C.C Parque La Colina,CO,"BOGOTÁ, D.C.",CUNDINAMARCA,BOGOTÁ,"Cra. 58d #146-51, Bogotá",ACTION_EXPERIENCE,America/Bogota,0,0,0,EVO,60
CC Florida,CO,MEDELLÍN,ANTIOQUIA,ANTIOQUIA NORTE,"Cl. 71 #65 - 150, El Progreso",ACTION_EXPERIENCE,America/Bogota,0,0,0,EVO,43
C.C Multiplaza - La Felicidad,CO,"BOGOTÁ, D.C.",CUNDINAMARCA,BOGOTÁ,Cll 19A # 72-57 Piso 2 Local B-102A,ACTION_EXPERIENCE,America/Bogota,0,0,0,EVO,69
Cedro Bolivar,CO,"BOGOTÁ, D.C.",CUNDINAMARCA,BOGOTÁ,"Carrera 17 #151-44, Usaquén, Bogotá",ACTION_EXPERIENCE,America/Bogota,0,0,0,EVO,33
City Plaza,CO,ENVIGADO,ANTIOQUIA,ANTIOQUIA SUR,"Cl. 36D Sur, CC City Plaza #27A- 105 Local 261",ACTION_EXPERIENCE,America/Bogota,0,1,0,EVO,6
Colina,CO,"BOGOTÁ, D.C.",CUNDINAMARCA,BOGOTÁ,Cl. 137B #56A-46,ACTION_EXPERIENCE,America/Bogota,0,0,0,EVO,31
Connecta 26,CO,"BOGOTÁ, D.C.",CUNDINAMARCA,BOGOTÁ,"Ac. 26 #92-32, Engativá",ACTION_EXPERIENCE,America/Bogota,0,0,0,EVO,22
Connecta 80,CO,"BOGOTÁ, D.C.",CUNDINAMARCA,BOGOTÁ,Cl. 81B con Av. Boyacá,ACTION_EXPERIENCE,America/Bogota,0,0,0,EVO,28
Cortezza,CO,MEDELLÍN,ANTIOQUIA,ANTIOQUIA CENTRO,"Centro Empresarial Cortezza, Km 5, Av. Las Palmas",ACTION_EXPERIENCE,America/Bogota,0,0,0,EVO,24
Country Mall,CO,CALI,VALLE DEL CAUCA,B/QUILLA - CALI - PEREIRA,CARRERA 4 10-203,ACTION_EXPERIENCE,America/Bogota,1,0,0,EVO,62
Drive in,CO,MEDELLÍN,ANTIOQUIA,ANTIOQUIA SUR,"Cl 16A Sur #32B-20, El Poblado, Medellín, El Poblado, Medellín, Antioquia",ACTION_EXPERIENCE,America/Bogota,1,0,0,EVO,49
El Edén,CO,"BOGOTÁ, D.C.",CUNDINAMARCA,BOGOTÁ,"Av. Boyacá #12b-18, Bogotá",ACTION_EXPERIENCE,America/Bogota,0,0,0,EVO,52
Éxito Av Colombia,CO,MEDELLÍN,ANTIOQUIA,ANTIOQUIA NORTE,"Cra 66 #49 - 0, Laureles - Estadio",ACTION_EXPERIENCE,America/Bogota,1,0,0,EVO,58
Éxito Chapinero,CO,"BOGOTÁ, D.C.",CUNDINAMARCA,BOGOTÁ,"Cl. 52 #13-70, Bogotá",ACTION_EXPERIENCE,America/Bogota,0,0,0,EVO,55
Éxito Poblado,CO,MEDELLÍN,ANTIOQUIA,ANTIOQUIA CENTRO,Cl. 10 No. 43E-135,ACTION_EXPERIENCE,America/Bogota,0,0,0,EVO,27
Inferior,CO,MEDELLÍN,ANTIOQUIA,ANTIOQUIA CENTRO,"Cra. 30 #11C 09, Ed. Feeling, El Poblado",ACTION_EXPERIENCE,America/Bogota,0,0,0,EVO,12
FIC 48 CD DEL RIO,CO,MEDELLÍN,ANTIOQUIA,ANTIOQUIA CENTRO,"Cra 44 #18a 13, El Poblado, Medellín, El Poblado",ACTION_EXPERIENCE,America/Bogota,0,0,0,EVO,68
Corporate Center,CO,"BOGOTÁ, D.C.",CUNDINAMARCA,BOGOTÁ,"Av. El Dorado #69 B-53, Fontibón, Bogotá",ACTION_EXPERIENCE,America/Bogota,0,0,0,EVO,61
Intermedia,CO,ENVIGADO,ANTIOQUIA,ANTIOQUIA SUR,"Cra. 27 #23 Sur 120, San Jorge",ACTION_EXPERIENCE,America/Bogota,0,0,0,EVO,1
Jardines Llano Grande,CO,RIONEGRO,ANTIOQUIA,ANTIOQUIA NORTE,Don Diego-Llanogrande #Km 8,ACTION_EXPERIENCE,America/Bogota,1,0,0,EVO,41
La 33,CO,MEDELLÍN,ANTIOQUIA,ANTIOQUIA NORTE,"Cl. 32F #66B-22, Belen",ACTION_EXPERIENCE,America/Bogota,0,0,0,EVO,9
