display_name,ValorBaixa,DtLancamento,IdFilial
CC Florida,"129.900,00",2026-01-01,43
C.C Parque La Colina,"249.900,00",2026-01-01,60
Tesoro,"199.900,00",2026-01-01,3
Corporate Center,"249.900,00",2026-01-01,61
Corporate Center,"249.900,00",2026-01-01,61
Corporate Center,"219.900,00",2026-01-01,61
Intermedia,"219.900,00",2026-01-01,1
CC Florida,"199.900,00",2026-01-01,43
Intermedia,"180.000,00",2026-01-01,1
Intermedia,"199.900,00",2026-01-01,1
Intermedia,"199.900,00",2026-01-01,1
Intermedia,"129.900,00",2026-01-01,1
Tesoro,"249.900,00",2026-01-01,3
Tesoro,"199.900,00",2026-01-01,3
Plaza Campestre,"249.900,00",2026-01-01,44
CC Florida,"249.900,00",2026-01-01,43
Tesoro,"180.000,00",2026-01-01,3
Corporate Center,"249.900,00",2026-01-01,61
CC Florida,"249.900,00",2026-01-01,43
Intermedia,"249.900,00",2026-01-01,1
Intermedia,"199.900,00",2026-01-01,1
CC Florida,"199.900,00",2026-01-01,43
Intermedia,"200.000,00",2026-01-01,1
Intermedia,"199.900,00",2026-01-01,1
CC Florida,"249.900,00",2026-01-01,43
CC Florida,"109.900,00",2026-01-01,43
Tesoro,"180.000,00",2026-01-01,3
Tesoro,"199.900,00",2026-01-01,3
Corporate Center,"249.900,00",2026-01-01,61
Plaza Campestre,"219.900,00",2026-01-01,44
Corporate Center,"249.900,00",2026-01-01,61
Tesoro,"199.900,00",2026-01-01,3
Corporate Center,"219.900,00",2026-01-01,61
Park1433,"249.900,00",2026-01-01,45
Parque Arboleda,"62.900,00",2026-01-01,54
CC Florida,"219.900,00",2026-01-01,43
CC Florida,"219.900,00",2026-01-01,43
Tesoro,"249.900,00",2026-01-01,3
Plaza Campestre,"199.900,00",2026-01-01,44
Plaza Campestre,"199.900,00",2026-01-01,44
Corporate Center,"249.900,00",2026-01-01,61
Intermedia,"109.900,00",2026-01-01,1
CC Florida,"249.900,00",2026-01-01,43
CC Florida,"129.900,00",2026-01-01,43
Plaza Campestre,"249.900,00",2026-01-01,44
Tesoro,"249.900,00",2026-01-01,3
Corporate Center,"249.900,00",2026-01-01,61
Tesoro,"219.900,00",2026-01-01,3
Corporate Center,"219.900,00",2026-01-01,61
Sabaneta,"199.900,00",2026-01-01,4
Outlet,"224.900,00",2026-01-01,47
Corporate Center,"249.900,00",2026-01-01,61
Corporate Center,"219.900,00",2026-01-01,61
Sabaneta,"199.900,00",2026-01-01,4
Tesoro,"180.000,00",2026-01-01,3
C.C Parque La Colina,"219.900,00",2026-01-01,60
Plaza Campestre,"249.900,00",2026-01-01,44
Tesoro,"199.900,00",2026-01-01,3
Corporate Center,"219.900,00",2026-01-01,61
Corporate Center,"249.900,00",2026-01-01,61
Outlet,"249.900,00",2026-01-01,47
Sabaneta,"249.900,00",2026-01-01,4
Corporate Center,"249.900,00",2026-01-01,61
Las Palmas Bio 26,"219.900,00",2026-01-01,46
Outlet,"249.900,00",2026-01-01,47
Corporate Center,"249.900,00",2026-01-01,61
Corporate Center,"249.900,00",2026-01-01,61
Sabaneta,"199.900,00",2026-01-01,4
Corporate Center,"249.900,00",2026-01-01,61
Corporate Center,"219.900,00",2026-01-01,61
Corporate Center,"249.900,00",2026-01-01,61
Ciudadela Sabaneta,"219.900,00",2026-01-01,50
Ciudadela Sabaneta,"109.900,00",2026-01-01,50
Campestre,"199.900,00",2026-01-01,5
Corporate Center,"219.900,00",2026-01-01,61
Epic Pereira,"199.900,00",2026-01-01,51
Tesoro,"224.900,00",2026-01-01,3
Los Molinos,"249.900,00",2026-01-01,48
Sabaneta,"219.900,00",2026-01-01,4
Corporate Center,"249.900,00",2026-01-01,61
Plaza Campestre,"249.900,00",2026-01-01,44
Corporate Center,"249.900,00",2026-01-01,61
Corporate Center,"249.900,00",2026-01-01,61
Tesoro,"249.900,00",2026-01-01,3
Corporate Center,"219.900,00",2026-01-01,61
Corporate Center,"219.900,00",2026-01-01,61
Los Molinos,"249.900,00",2026-01-01,48
Los Molinos,"249.900,00",2026-01-01,48
Sabaneta,"249.900,00",2026-01-01,4
Corporate Center,"219.900,00",2026-01-01,61
Corporate Center,"249.900,00",2026-01-01,61
Tesoro,"249.900,00",2026-01-01,3
Las Palmas Bio 26,"249.900,00",2026-01-01,46
