Filial,ValorBaixa,DtLancamento,IdFilial
ACTION BLACK (BR) - TREINAMENTO,"10,00",2025-12-02,999
ACTION BLACK (BR) - TREINAMENTO,"3.699,00",2025-12-02,999
ACTION BLACK (BR) - TREINAMENTO,"3.699,00",2025-12-02,999
ACTION BLACK (BR) - BOTAFOGO,"84,66",2025-12-02,2
ACTION BLACK (BR) - TREINAMENTO,"87,00",2025-12-03,999
ACTION BLACK (BR) - TREINAMENTO,"30,00",2025-12-03,999
ACTION BLACK (BR) - BOTAFOGO,"84,66",2025-12-05,2
ACTION BLACK (BR) - BOTAFOGO,"84,66",2025-12-05,2
ACTION BLACK (BR) - BOTAFOGO,"96,34",2025-12-06,2
ACTION BLACK (BR) - BOTAFOGO,"84,66",2025-12-06,2
ACTION BLACK (BR) - BOTAFOGO,"84,66",2025-12-06,2
ACTION BLACK (BR) - BOTAFOGO,"84,66",2025-12-08,2
ACTION BLACK (BR) - BOTAFOGO,"3.599,50",2025-12-08,2
ACTION BLACK (BR) - BOTAFOGO,"84,66",2025-12-08,2
ACTION BLACK (BR) - BOTAFOGO,"96,34",2025-12-09,2
ACTION BLACK (BR) - BOTAFOGO,"96,34",2025-12-09,2
ACTION BLACK (BR) - BOTAFOGO,"84,66",2025-12-09,2
ACTION BLACK (BR) - BOTAFOGO,"84,66",2025-12-09,2
ACTION BLACK (BR) - BOTAFOGO,"84,66",2025-12-09,2
ACTION BLACK (BR) - BOTAFOGO,"84,66",2025-12-10,2
ACTION BLACK (BR) - BOTAFOGO,"84,66",2025-12-10,2
ACTION BLACK (BR) - BOTAFOGO,"4,00",2025-12-10,2
ACTION BLACK (BR) - BOTAFOGO,"87,00",2025-12-10,2
ACTION BLACK (BR) - BOTAFOGO,"84,66",2025-12-10,2
ACTION BLACK (BR) - BOTAFOGO,"5,00",2025-12-10,2
ACTION BLACK (BR) - BOTAFOGO,"15,00",2025-12-10,2
ACTION BLACK (BR) - BOTAFOGO,"84,66",2025-12-10,2
ACTION BLACK (BR) - BOTAFOGO,"4,00",2025-12-10,2
ACTION BLACK (BR) - BOTAFOGO,"84,66",2025-12-10,2
ACTION BLACK (BR) - BOTAFOGO,"84,66",2025-12-11,2
ACTION BLACK (BR) - BOTAFOGO,"84,66",2025-12-11,2
ACTION BLACK (BR) - BOTAFOGO,"3.599,50",2025-12-10,2
ACTION BLACK (BR) - BOTAFOGO,"83,87",2025-12-10,2
ACTION BLACK (BR) - BOTAFOGO,"84,66",2025-12-11,2
ACTION BLACK (BR) - BOTAFOGO,"3,00",2025-12-11,2
ACTION BLACK (BR) - BOTAFOGO,"96,34",2025-12-12,2
ACTION BLACK (BR) - BOTAFOGO,"8,86",2025-12-12,2
ACTION BLACK (BR) - BOTAFOGO,"96,34",2025-12-12,2
ACTION BLACK (BR) - BOTAFOGO,"84,66",2025-12-12,2
ACTION BLACK (BR) - BOTAFOGO,"4,00",2025-12-12,2
ACTION BLACK (BR) - BOTAFOGO,"28,98",2025-12-12,2
ACTION BLACK (BR) - BOTAFOGO,"3,00",2025-12-12,2
ACTION BLACK (BR) - BOTAFOGO,"8,86",2025-12-12,2
ACTION BLACK (BR) - BOTAFOGO,"18,99",2025-12-12,2
ACTION BLACK (BR) - BOTAFOGO,"3.642,04",2025-12-15,2
ACTION BLACK (BR) - BOTAFOGO,"17,99",2025-12-15,2
ACTION BLACK (BR) - BOTAFOGO,"96,34",2025-12-15,2
ACTION BLACK (BR) - BOTAFOGO,"84,66",2025-12-15,2
ACTION BLACK (BR) - BOTAFOGO,"96,34",2025-12-16,2
ACTION BLACK (BR) - BOTAFOGO,"96,34",2025-12-16,2
ACTION BLACK (BR) - BOTAFOGO,"96,34",2025-12-16,2
ACTION BLACK (BR) - BOTAFOGO,"84,66",2025-12-16,2
ACTION BLACK (BR) - BOTAFOGO,"96,34",2025-12-16,2
ACTION BLACK (BR) - BOTAFOGO,"84,66",2025-12-16,2
ACTION BLACK (BR) - BOTAFOGO,"84,66",2025-12-16,2
ACTION BLACK (BR) - BOTAFOGO,"485,58",2025-12-16,2
ACTION BLACK (BR) - BOTAFOGO,"17,51",2025-12-16,2
ACTION BLACK (BR) - BOTAFOGO,"4,00",2025-12-16,2
ACTION BLACK (BR) - BOTAFOGO,"3.599,50",2025-12-16,2
ACTION BLACK (BR) - BOTAFOGO,"84,66",2025-12-16,2
ACTION BLACK (BR) - BOTAFOGO,"96,34",2025-12-16,2
ACTION BLACK (BR) - BOTAFOGO,"84,66",2025-12-16,2
ACTION BLACK (BR) - BOTAFOGO,"96,34",2025-12-16,2
ACTION BLACK (BR) - BOTAFOGO,"96,34",2025-12-17,2
ACTION BLACK (BR) - BOTAFOGO,"84,66",2025-12-17,2
ACTION BLACK (BR) - BOTAFOGO,"84,66",2025-12-17,2
ACTION BLACK (BR) - BOTAFOGO,"2,00",2025-12-18,2
ACTION BLACK (BR) - BOTAFOGO,"3,94",2025-12-18,2
ACTION BLACK (BR) - BOTAFOGO,"5,00",2025-12-18,2
ACTION BLACK (BR) - BOTAFOGO,"3,94",2025-12-18,2
ACTION BLACK (BR) - BOTAFOGO,"84,66",2025-12-18,2
ACTION BLACK (BR) - BOTAFOGO,"3,94",2025-12-18,2
ACTION BLACK (BR) - BOTAFOGO,"84,66",2025-12-18,2
ACTION BLACK (BR) - BOTAFOGO,"84,66",2025-12-18,2
ACTION BLACK (BR) - BOTAFOGO,"3.599,50",2025-12-18,2
ACTION BLACK (BR) - BOTAFOGO,"84,66",2025-12-19,2
ACTION BLACK (BR) - BOTAFOGO,"1,95",2025-12-19,2
ACTION BLACK (BR) - BOTAFOGO,"14,99",2025-12-19,2
ACTION BLACK (BR) - BOTAFOGO,"84,66",2025-12-19,2
ACTION BLACK (BR) - BOTAFOGO,"3,89",2025-12-19,2
ACTION BLACK (BR) - BOTAFOGO,"11,00",2025-12-19,2
ACTION BLACK (BR) - BOTAFOGO,"84,66",2025-12-19,2
ACTION BLACK (BR) - BOTAFOGO,"3.599,50",2025-12-19,2
ACTION BLACK (BR) - BOTAFOGO,"84,66",2025-12-19,2
ACTION BLACK (BR) - BOTAFOGO,"11,99",2025-12-20,2
ACTION BLACK (BR) - BOTAFOGO,"11,67",2025-12-20,2
ACTION BLACK (BR) - BOTAFOGO,"11,81",2025-12-20,2
ACTION BLACK (BR) - BOTAFOGO,"8,76",2025-12-26,2
ACTION BLACK (BR) - BOTAFOGO,"0,97",2025-12-26,2
ACTION BLACK (BR) - BOTAFOGO,"14,60",2025-12-27,2
