apertura,branch_id,brand,city,country,db_cost_center,db_match,display_name,estado,is_deleted,is_presale,key,m2,name,nueva,partner_id,partner_name,pendiente,punto_equilibrio,region_name,source,updated_at
,101,ACTION_EXPERIENCE,"BOGOTÁ, D.C.",CO,"{'id': 2, 'is_active': True, 'name': 'Action Campin 7 De Agosto'}",id,7 De Agosto,inactiva,0,1,CO:101,500.0,7DeAgosto,False,73,EVO,True,450.0,BOGOTÁ,admin,2026-08-27T15:42:43Z
,137,ACTION_EXPERIENCE,MEDELLÍN,CO,,,Aranjuez,inactiva,0,1,CO:137,,Aranjuez,False,93,EVO,True,450.0,,admin,2026-09-01T23:12:31Z
,133,ACTION_EXPERIENCE,BELLO,CO,,,Cabañas,inactiva,0,1,CO:133,,Cabañas,False,88,EVO,True,450.0,,admin,2026-09-01T23:12:31Z
,130,ACTION_EXPERIENCE,CARTAGENA,CO,"{'id': 229, 'is_active': True, 'name': 'Action Cartagena Ramblas'}",nombre,Cartagena Ramblas,inactiva,0,1,CO:130,,CartagenaRamblas,False,85,EVO,True,450.0,,admin,2026-09-01T23:12:31Z
,25,ACTION_EXPERIENCE,"BOGOTÁ, D.C.",CO,"{'id': 13, 'is_active': True, 'name': 'Action Carulla 116'}",id,Carulla 116,inactiva,0,1,CO:25,979.0,CarullaAutopista116,False,70,EVO,True,450.0,BOGOTÁ,master_sedes,2026-08-27T03:26:55Z
,126,ACTION_EXPERIENCE,"BOGOTÁ, D.C.",CO,,,Cedritos,inactiva,0,1,CO:126,,Cedritos,False,81,EVO,True,450.0,,admin,2026-09-01T23:12:31Z
,127,ACTION_EXPERIENCE,PEREIRA,CO,,,Cerritos Pereira,inactiva,0,1,CO:127,,CerritosPereira,False,82,EVO,True,450.0,,admin,2026-09-01T23:12:31Z
,132,ACTION_EXPERIENCE,COPACABANA,CO,,,Copacabana,inactiva,0,1,CO:132,,Copacabana,False,87,EVO,True,450.0,,admin,2026-09-01T23:12:31Z
,89,ACTION_EXPERIENCE,CALI,CO,"{'id': 30, 'is_active': True, 'name': 'Action Country Mall'}",id,Country Mall,inactiva,0,1,CO:89,1000.0,CountryMall,False,62,EVO,True,380.0,B/QUILLA - CALI - PEREIRA,admin,2026-09-01T23:12:31Z
,136,ACTION_EXPERIENCE,CARTAGENA,CO,,,Cristal Mall,inactiva,0,1,CO:136,,CristalMall,False,91,EVO,True,450.0,,admin,2026-09-01T23:12:31Z
,62,ACTION_EXPERIENCE,MEDELLÍN,CO,"{'id': 31, 'is_active': True, 'name': 'Action Drive In'}",id,Drive in,inactiva,0,1,CO:62,732.0,Drivein,False,49,EVO,True,450.0,ANTIOQUIA SUR,admin,2026-09-01T23:12:31Z
,134,ACTION_EXPERIENCE,MONTERÍA,CO,,,Evergreen Mall Monteria,inactiva,0,1,CO:134,,EvergreenMallMonteria,False,89,EVO,True,447.0,,admin,2026-09-01T23:12:31Z
,36,ACTION_SPORT_CLUB,MEDELLÍN,CO,"{'id': 75, 'is_active': True, 'name': 'Action Sport Club La 65'}",id,Jumbo 65,inactiva,0,1,CO:36,,Jumbo65,False,39,EVO,True,,ACTION SPORT CLUB,admin,2026-08-27T03:30:34Z
,37,ACTION_SPORT_CLUB,MEDELLÍN,CO,,,Jumbo Vegas,inactiva,0,1,CO:37,600.0,JumboVegas,False,99,EVO,True,,ACTION SPORT CLUB,admin,2026-08-27T15:42:43Z
,39,ACTION_EXPERIENCE,MEDELLÍN,CO,"{'id': 46, 'is_active': True, 'name': 'Action La 45 Manrique'}",id,La 45,inactiva,0,1,CO:39,890.0,La45,False,42,EVO,True,450.0,ANTIOQUIA CENTRO,master_sedes,2026-08-27T03:26:55Z
,99,ACTION_EXPERIENCE,MEDELLÍN,CO,"{'id': 51, 'is_active': True, 'name': 'Action Loma De Los Bernal'}",id,Loma De Los Bernal,inactiva,0,1,CO:99,1395.0,LomaDeLosBernal,False,71,EVO,True,380.0,ANTIOQUIA CENTRO,admin,2026-09-01T23:12:31Z
,124,RESETT,MEDELLÍN,CO,"{'id': 95, 'is_active': True, 'name': 'Resett Las Vegas'}",id,Resett Vegas,inactiva,0,0,CO:124,,ResettVegas,False,124,AX,True,0.0,RESETT,admin,2026-09-04T15:49:16Z
